CustNum	25
DroneNum	4
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	0	0	0.0	0		7083
1	347	337	0.1	2979		4860
2	211	194	0.4	3192		4919
3	281	68	0.7	401		2034
4	234	154	0.7	3221		4736
5	460	377	0.3	2618		3970
6	143	430	0.2	2354		3821
7	356	124	0.3	4192		6187
8	379	303	0.6	1192		2241
9	160	178	0.5	1284		3099
10	449	5	0.7	1508		2763
11	37	178	0.1	5076		6568
12	383	236	1.0	485		1368
13	167	275	1.3	5792		6761
14	85	224	0.3	471		1993
15	240	33	0.8	5208		6840
16	334	55	0.9	4049		5256
17	360	260	0.7	1981		3276
18	209	40	0.8	1424		3398
19	441	190	1.3	481		1501
20	287	437	0.9	3368		5246
21	36	440	1.1	4852		6641
22	19	408	0.1	409		1498
23	89	408	1.1	4204		5549
24	189	162	0.1	4128		5874
25	293	431	1.1	2660		4231
26	0	0	0.0	0		7083
