CustNum	30
DroneNum	5
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	480	480	0.0	0		6616
1	213	639	0.6	2510		4557
2	39	924	0.5	3818		5404
3	947	246	0.4	3638		5129
4	493	393	0.5	835		2168
5	591	870	0.7	1273		2512
6	741	56	0.4	5328		6118
7	455	424	0.4	2554		4107
8	107	459	0.3	374		1498
9	903	427	0.7	2260		3744
10	301	196	0.4	1972		3748
11	282	367	0.1	1149		2758
12	159	654	0.2	1057		2359
13	11	767	0.5	550		1371
14	166	611	0.3	4614		6275
15	555	447	0.2	4357		5214
16	651	341	0.5	2001		2800
17	509	115	0.7	1405		2953
18	299	273	0.3	4708		6341
19	435	500	1.3	1216		3178
20	488	545	1.2	2485		4517
21	926	617	0.8	1226		2780
22	471	455	0.9	3636		5170
23	331	885	1.2	2373		3589
24	564	131	0.6	359		1220
25	102	940	1.2	5432		6020
26	330	137	0.1	1894		3197
27	234	841	0.4	437		1674
28	249	156	1.1	3160		4478
29	934	234	0.6	4858		6099
30	793	435	1.0	3773		4705
31	480	480	0.0	0		6616
