CustNum	40
DroneNum	6
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	0	0	0.0	0		6860
1	256	309	0.7	4559		5978
2	37	124	0.3	130		1352
3	375	77	0.7	1045		2215
4	12	267	0.6	268		2021
5	362	105	0.2	2126		3868
6	372	191	0.3	5111		6237
7	284	260	0.7	5281		6474
8	278	414	0.6	4000		5464
9	170	430	0.1	1185		2403
10	96	455	0.3	3944		5806
11	83	322	0.1	3433		4898
12	375	302	0.6	1535		3298
13	375	90	0.4	4246		6116
14	110	15	0.4	1798		3824
15	159	91	0.2	2822		4437
16	14	234	0.6	5059		6625
17	221	256	1.0	1901		3330
18	39	138	0.6	2809		3764
19	32	334	0.5	1310		3164
20	142	322	0.5	2727		4730
21	421	36	0.9	3489		4335
22	75	95	1.0	672		1661
23	392	25	0.8	393		1455
24	465	56	0.5	4914		6238
25	30	417	0.8	1308		2615
26	474	43	0.9	1125		2390
27	20	226	1.3	4383		6128
28	154	448	0.6	474		1599
29	416	252	1.0	5164		6289
30	190	263	1.5	3413		5450
31	233	311	0.8	3618		5039
32	74	13	1.1	2660		4666
33	283	291	0.7	5303		6454
34	239	240	0.8	3580		4746
35	223	250	1.1	336		1791
36	17	462	1.1	4066		4919
37	201	84	1.1	1562		3317
38	249	392	0.4	3791		5413
39	466	232	0.3	2715		4519
40	228	437	0.9	3752		5085
41	0	0	0.0	0		6860
