CustNum	20
DroneNum	3
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	480	480	0.0	0		7817
1	667	270	0.4	6026		6837
2	348	337	0.3	195		1572
3	678	46	0.5	2255		4363
4	180	426	0.4	2516		4966
5	193	321	0.3	329		1534
6	959	923	0.3	1630		3305
7	81	920	0.1	2084		3239
8	117	902	0.1	1150		2626
9	497	518	0.1	42		1154
10	889	63	0.7	3574		5055
11	171	886	1.2	4090		6490
12	462	671	0.9	3452		5217
13	337	933	1.3	928		2780
14	267	822	1.2	6116		7107
15	335	269	0.8	2659		4690
16	666	926	0.9	1740		3630
17	427	444	1.3	5110		7020
18	821	460	0.7	5573		7475
19	697	599	1.3	5404		7221
20	86	831	0.5	4641		6582
21	480	480	0.0	0		7817
