C204

VEHICLE
NUMBER     CAPACITY
  25         700

CUSTOMER
CUST NO.  XCOORD.     YCOORD.   DEMAND   READY TIME   DUE DATE   SERVICE TIME   RELEASE DATE
 
    0      40         50          0          0       3390          0           0
    1      52         75         10          0       3272         90        1596
    2      45         70         30          0       3279         90        1596
    3      62         69         10          0       3270         90        1596
    4      60         66         10       1261       1421         90           0
    5      42         65         10          0       3284         90        1596
    6      16         42         20          0       3274         90        1596
    7      58         70         20          0       3273         90        1596
    8      34         60         20       2887       3047         90        1596
    9      28         70         10       2601       2761         90        1163
   10      35         66         10          0       3283         90        1596
   11      35         69         10       2698       2858         90        1163
   12      25         85         20          0       3261         90        1596
   13      22         75         30       2405       2565         90        1163
   14      22         85         10          0       3260         90        1596
   15      20         80         40       2216       2376         90        1163
   16      20         85         40          0       3259         90        1596
   17      18         75         20          0       3266         90        1596
   18      15         75         20          0       3264         90        1596
   19      15         80         10          0       3260         90        1596
   20      30         50         10          0       3290         90        1596
   21      30         56         20          0       3288         90        1596
   22      28         52         20          0       3287         90        1596
   23      14         66         10       1643       1803         90        1163
   24      25         50         10          0       3285         90        1596
   25      22         66         40       2504       2664         90        1163
   26       8         62         10          0       3265         90        1596
   27      23         52         10          0       3282         90        1596
   28       4         55         20          0       3263         90        1596
   29      20         50         10          0       3280         90        1596
   30      20         55         10          0       3279         90        1596
   31      10         35         20          0       3266         90        1596
   32      10         40         30          0       3268         90        1596
   33       8         40         40          0       3266         90        1596
   34       8         45         20          0       3267         90        1596
   35       5         35         10          0       3261         90        1596
   36       5         45         10          0       3264         90        1596
   37       2         40         20          0       3260         90        1596
   38       0         40         30       1063       1223         90           0
   39       0         45         20          0       3259         90        1596
   40      36         18         10          0       3267         90        1596
   41      35         32         10          0       3281         90        1596
   42      33         32         20          0       3280         90        1596
   43      33         35         10          0       3283         90        1596
   44      32         20         10       1913       2073         90        1163
   45      30         30         10          0       3277         90        1596
   46      34         25         30          0       3274         90        1596
   47      30         35         10          0       3281         90        1596
   48      36         40         10          0       3289         90        1596
   49      48         20         10          0       3268         90        1596
   50      26         32         10          0       3277         90        1596
   51      25         30         10          0       3275         90        1596
   52      25         35         10          0       3278         90        1596
   53      44          5         20       1256       1416         90           0
   54      42         10         40          0       3259         90        1596
   55      42         15         10       1065       1225         90           0
   56      40          5         30          0       3255         90        1596
   57      38         15         40          0       3264         90        1596
   58      38          5         30       1442       1602         90           0
   59      38         10         10          0       3259         90        1596
   60      35          5         20          0       3254         90        1596
   61      50         30         10          0       3277         90        1596
   62      50         35         20        120        280         90           0
   63      50         40         50          0       3285         90        1596
   64      48         30         10          0       3278         90        1596
   65      44         25         10          0       3274         90        1596
   66      47         35         10          0       3283         90        1596
   67      47         40         10         12        172         90           0
   68      42         30         10          0       3279         90        1596
   69      45         35         10        680        840         90           0
   70      95         30         30          0       3241         90        1596
   71      95         35         20          0       3242         90        1596
   72      53         30         10          0       3276         90        1596
   73      92         30         10          0       3244         90        1596
   74      53         35         50        213        373         90           0
   75      45         65         20          0       3284         90        1596
   76      90         35         10       2131       2291         90        1163
   77      72         45         10       2900       3060         90        1596
   78      78         40         20          0       3260         90        1596
   79      87         30         10       2608       2768         90        1163
   80      85         25         10          0       3248         90        1596
   81      85         35         30          0       3252         90        1596
   82      75         55         20          0       3264         90        1596
   83      72         55         10          0       3267         90        1596
   84      70         58         20       1641       1801         90        1163
   85      86         46         30          0       3253         90        1596
   86      66         55         10          0       3273         90        1596
   87      64         46         20       3097       3257         90        1596
   88      65         60         30          0       3273         90        1596
   89      56         64         10          0       3278         90        1596
   90      60         55         10          0       3279         90        1596
   91      60         60         10          0       3277         90        1596
   92      67         85         20        694        854         90           0
   93      42         58         40          0       3291         90        1596
   94      65         82         10          0       3259         90        1596
   95      62         80         30          0       3262         90        1596
   96      62         40         10          0       3275         90        1596
   97      60         85         30          0       3259         90        1596
   98      58         75         20          0       3269         90        1596
   99      55         80         10        407        567         90           0
  100      55         85         20        502        662         90           0
